period,reporterDesc,partnerDesc,flowDesc,primaryValue
2024,Azerbaijan,World,Import,21054831458
2024,Azerbaijan,Afghanistan,Import,34562.37
2024,Azerbaijan,Albania,Import,628036.27
2024,Azerbaijan,Algeria,Import,1353696.48
2024,Azerbaijan,American Samoa,Import,8086.81
2024,Azerbaijan,Andorra,Import,730.57
2024,Azerbaijan,Angola,Import,1152783.01
2024,Azerbaijan,Antigua and Barbuda,Import,482.66
2024,Azerbaijan,Azerbaijan,Import,3806259.62
2024,Azerbaijan,Argentina,Import,70786082.39
2024,Azerbaijan,Australia,Import,1463120999
2024,Azerbaijan,Austria,Import,87183747.47
2024,Azerbaijan,Bahamas,Import,58.4
2024,Azerbaijan,Bahrain,Import,35487.91
2024,Azerbaijan,Bangladesh,Import,30266407.75
2024,Azerbaijan,Barbados,Import,35996.62
2024,Azerbaijan,Belgium,Import,69230319.04
2024,Azerbaijan,Bolivia (Plurinational State of),Import,38555.48
2024,Azerbaijan,Bosnia Herzegovina,Import,1470839.05
2024,Azerbaijan,Brazil,Import,178863157.7
2024,Azerbaijan,Brunei Darussalam,Import,7916.54
2024,Azerbaijan,Bulgaria,Import,35564570.63
2024,Azerbaijan,Myanmar,Import,5957922.16
2024,Azerbaijan,Burundi,Import,1940.6
2024,Azerbaijan,Belarus,Import,455835748.8
2024,Azerbaijan,Cambodia,Import,9344366.48
2024,Azerbaijan,Cameroon,Import,60.14
2024,Azerbaijan,Canada,Import,165509056.5
2024,Azerbaijan,Central African Rep.,Import,74622.09
2024,Azerbaijan,Sri Lanka,Import,66448605.49
2024,Azerbaijan,Chile,Import,5934776.48
2024,Azerbaijan,China,Import,3725054074
2024,Azerbaijan,Colombia,Import,1820454.01
2024,Azerbaijan,Comoros,Import,111800
2024,Azerbaijan,Cook Isds,Import,979.31
2024,Azerbaijan,Costa Rica,Import,3860505.37
2024,Azerbaijan,Croatia,Import,5312136.23
2024,Azerbaijan,Cuba,Import,748186.61
2024,Azerbaijan,Cyprus,Import,3109809.18
2024,Azerbaijan,Czechia,Import,64829454.15
2024,Azerbaijan,Denmark,Import,51818401.96
2024,Azerbaijan,Dominica,Import,26474.2
2024,Azerbaijan,Dominican Rep.,Import,580132.01
2024,Azerbaijan,Ecuador,Import,58621141.39
2024,Azerbaijan,El Salvador,Import,145987.38
2024,Azerbaijan,Ethiopia,Import,534294.54
2024,Azerbaijan,Eritrea,Import,20072.81
2024,Azerbaijan,Estonia,Import,6717860.01
2024,Azerbaijan,Finland,Import,29939570.69
2024,Azerbaijan,France,Import,235396941.2
2024,Azerbaijan,Georgia,Import,128385510.8
2024,Azerbaijan,State of Palestine,Import,952151.7
2024,Azerbaijan,Germany,Import,824819316.3
2024,Azerbaijan,Ghana,Import,63844.69
2024,Azerbaijan,Greece,Import,57334390.76
2024,Azerbaijan,Greenland,Import,1132173.48
2024,Azerbaijan,Guam,Import,6130.82
2024,Azerbaijan,Guatemala,Import,647863.05
2024,Azerbaijan,Guinea,Import,156.2
2024,Azerbaijan,Haiti,Import,34.52
2024,Azerbaijan,Honduras,Import,77374.42
2024,Azerbaijan,"China, Hong Kong SAR",Import,3315258.44
2024,Azerbaijan,Hungary,Import,54829766.83
2024,Azerbaijan,Iceland,Import,4499575.43
2024,Azerbaijan,Indonesia,Import,75757979.82
2024,Azerbaijan,Iran,Import,633058127.6
2024,Azerbaijan,Iraq,Import,578888.5
2024,Azerbaijan,Ireland,Import,40487115.9
2024,Azerbaijan,Israel,Import,31667879.32
2024,Azerbaijan,Italy,Import,515802366.8
2024,Azerbaijan,Côte d'Ivoire,Import,269362.95
2024,Azerbaijan,Jamaica,Import,214408.31
2024,Azerbaijan,Japan,Import,409059012.6
2024,Azerbaijan,Kazakhstan,Import,337268177.3
2024,Azerbaijan,Jordan,Import,5659090.76
2024,Azerbaijan,Kenya,Import,3114560.5
2024,Azerbaijan,Rep. of Korea,Import,384788112.4
2024,Azerbaijan,Kuwait,Import,1233.34
2024,Azerbaijan,Kyrgyzstan,Import,10401010.46
2024,Azerbaijan,Lao People's Dem. Rep.,Import,234006.05
2024,Azerbaijan,Lebanon,Import,923729.62
2024,Azerbaijan,Lesotho,Import,120.16
2024,Azerbaijan,Latvia,Import,21225743.7
2024,Azerbaijan,Lithuania,Import,60399665.19
2024,Azerbaijan,Luxembourg,Import,2408645.61
2024,Azerbaijan,"China, Macao SAR",Import,16288.81
2024,Azerbaijan,Madagascar,Import,771211.72
2024,Azerbaijan,Malawi,Import,98334.91
2024,Azerbaijan,Malaysia,Import,76923065.07
2024,Azerbaijan,Mali,Import,1679.2
2024,Azerbaijan,Malta,Import,2209361.41
2024,Azerbaijan,Mauritania,Import,26358.94
2024,Azerbaijan,Mauritius,Import,115159.04
2024,Azerbaijan,Mexico,Import,239129590.8
2024,Azerbaijan,"Other Asia, nes",Import,53615559.57
2024,Azerbaijan,Mongolia,Import,2145470.57
2024,Azerbaijan,Rep. of Moldova,Import,4978294.64
2024,Azerbaijan,Montenegro,Import,1036328.48
2024,Azerbaijan,Morocco,Import,8187501.67
2024,Azerbaijan,Mozambique,Import,544.38
2024,Azerbaijan,Oman,Import,384615.94
2024,Azerbaijan,Namibia,Import,6865.22
2024,Azerbaijan,Nauru,Import,114445.28
2024,Azerbaijan,Nepal,Import,288751.99
2024,Azerbaijan,Netherlands,Import,98774416.29
2024,Azerbaijan,Curaçao,Import,6439.25
2024,Azerbaijan,New Zealand,Import,40687528.02
2024,Azerbaijan,Nicaragua,Import,142722.54
2024,Azerbaijan,Niger,Import,33940.95
2024,Azerbaijan,Nigeria,Import,59306.36
2024,Azerbaijan,Niue,Import,3251.14
2024,Azerbaijan,Norway,Import,27061264.65
2024,Azerbaijan,Pakistan,Import,21851453.25
2024,Azerbaijan,Panama,Import,44.68
2024,Azerbaijan,Papua New Guinea,Import,3111.36
2024,Azerbaijan,Paraguay,Import,229354.91
2024,Azerbaijan,Peru,Import,3121147.45
2024,Azerbaijan,Philippines,Import,4601863.99
2024,Azerbaijan,Poland,Import,153709139.3
2024,Azerbaijan,Portugal,Import,15537723.62
2024,Azerbaijan,Qatar,Import,1901752.45
2024,Azerbaijan,Romania,Import,85900754.36
2024,Azerbaijan,Russian Federation,Import,3620645657
2024,Azerbaijan,Rwanda,Import,55803.4
2024,Azerbaijan,San Marino,Import,302357.45
2024,Azerbaijan,Saudi Arabia,Import,23860251.29
2024,Azerbaijan,Senegal,Import,153.33
2024,Azerbaijan,Serbia,Import,9056585.31
2024,Azerbaijan,Seychelles,Import,18243.35
2024,Azerbaijan,Sierra Leone,Import,9876.76
2024,Azerbaijan,India,Import,223926949.9
2024,Azerbaijan,Singapore,Import,38169964.09
2024,Azerbaijan,Slovakia,Import,46068309.91
2024,Azerbaijan,Viet Nam,Import,145144844.1
2024,Azerbaijan,Slovenia,Import,21949610.4
2024,Azerbaijan,Somalia,Import,960000
2024,Azerbaijan,South Africa,Import,29798427.68
2024,Azerbaijan,Zimbabwe,Import,424420.64
2024,Azerbaijan,Spain,Import,146175945.7
2024,Azerbaijan,Sudan,Import,56052.75
2024,Azerbaijan,Suriname,Import,1478.96
2024,Azerbaijan,Eswatini,Import,1832.99
2024,Azerbaijan,Sweden,Import,43023918.78
2024,Azerbaijan,Switzerland,Import,243983028.5
2024,Azerbaijan,Syria,Import,691658.33
